;50005305;50007476;50005964;50008374;
50030234;74.31;74.31;74.31;63.16;
50030236;48.33;48.33;48.33;41.08;
50030238;62.86;62.86;62.86;53.43;
50030239;91.13;91.13;91.13;77.46;
50030240;67.62;67.62;67.62;57.48;
50030241;92.64;92.64;92.64;78.74;
50030242;105.89;105.89;105.89;90.01;
50030243;157.55;157.55;157.55;133.92;
50030245;70.75;70.75;70.75;60.14;
50030247;25.31;25.31;25.31;21.51;
50030248;23.5;23.5;23.5;19.98;
50030249;25.07;25.07;25.07;21.31;
50030251;23.92;23.92;23.92;20.33;
50030252;12.08;12.08;12.08;10.27;
50030253;12.36;12.36;12.36;10.51;
50030254;12.82;12.82;12.82;10.9;
50030255;13.07;13.07;13.07;11.11;
50030256;21.33;21.33;21.33;18.13;
50030259;15.42;15.42;15.42;13.11;
50030260;24.64;24.64;24.64;20.94;
50030261;27.48;27.48;27.48;23.36;
50030263;44.57;44.57;44.57;37.88;
50030264;52.35;52.35;52.35;44.5;
50030265;28.46;28.46;28.46;24.19;
50030267;32.99;32.99;32.99;28.04;
50030268;31.44;31.44;31.44;26.72;
50030269;38.39;38.39;38.39;32.63;
50030270;44.55;44.55;44.55;37.87;
50030272;42;42;42;35.7;
50030273;12.17;12.17;12.17;10.34;
50030275;13.54;13.54;13.54;11.51;
50030276;17.55;17.55;17.55;14.92;
50030277;29.72;29.72;29.72;25.26;
50030278;24.64;24.64;24.64;20.94;
50030279;27.48;27.48;27.48;23.36;
50030280;40.77;40.77;40.77;34.65;
50030281;43.88;43.88;43.88;37.3;
50030282;52.35;52.35;52.35;44.5;
50030283;13.07;13.07;13.07;11.11;
50030285;13.54;13.54;13.54;11.51;
50030286;14.1;14.1;14.1;11.99;
50030287;21.33;21.33;21.33;18.13;
50030288;24.64;24.64;24.64;20.94;
50030289;27.48;27.48;27.48;23.36;
50030290;40.14;40.14;40.14;34.12;
50030291;45.52;45.52;45.52;38.69;
50030292;52.35;52.35;52.35;44.5;
50030294;24.28;24.28;24.28;20.64;
50030296;23.62;23.62;23.62;20.08;
50030297;25.31;25.31;25.31;21.51;
50030298;23.5;23.5;23.5;19.98;
50030299;25.07;25.07;25.07;21.31;
50030300;13.54;13.54;13.54;11.51;
50030301;40.14;40.14;40.14;34.12;
50030303;52.35;52.35;52.35;44.5;
50030304;38.39;38.39;38.39;32.63;
50030305;42.2;42.2;42.2;35.87;
50030306;46.86;46.86;46.86;39.83;
50030308;12.08;12.08;12.08;10.27;
50030309;12.36;12.36;12.36;10.51;
50030311;12.76;12.76;12.76;10.85;
50030312;21.67;21.67;21.67;18.42;
50030313;14.76;14.76;14.76;12.55;
50030315;24.64;24.64;24.64;20.94;
50030316;27.48;27.48;27.48;23.36;
50030317;40.14;40.14;40.14;34.12;
50030318;45.52;45.52;45.52;38.69;
50030319;52.35;52.35;52.35;44.5;
50030320;39.81;39.81;39.81;33.84;
50030321;44.55;44.55;44.55;37.87;
